,,,,,,,,,,,,,,,Automation Company : 08/10/2020 5:43 PM
,,,,,,,,,,,,,,,Trial balance
,,,,,,,,,,,,,,, [ AsOnDate to 28/12/2022 ]
,,,,,,,,,,,Base,,,,,,,,Transaction,,,,,,,,Local,Base,TransactionLocal
Particulars,Code,Alias,Debit,Credit,Dr (Op bal),Cr (Op bal),Dr (YTD),Cr (YTD),Debits for the period,Credits for the period,Debit (orig),Credit (orig),Dr (Op bal orig) ,Cr (Op bal orig),Dr (YTD orig),Cr (YTD orig),Debits for the period,Credits for the period,Debit (local),Credit (local),Dr (Op bal local),Cr (Op bal local),Dr (YTD local),Cr (YTD local),Debits for the period,Credits for the period,Percentage (%),Percentage (orig),Percentage (local)
Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSETS,001,ASSETS,544.29,,,,544.29,,,,,,,,,,,,,,,,,,,,,,
   Current Assets,012,Current Assets,,544.29,,,,544.29,,,,,,,,,,,,,,,,,,,,,
      Cash & bank,121,Cash & bank,,30.29,,,,30.29,,,,,,,,,,,,,,,,,,,,,
         Bank,121-001,Bank,,30.29,,,,30.29,,,,,,,,,,,,,,,,,,,,,
      Accounts Receivable,122,Accounts Receivable,,514.00,,,,514.00,,,,,,,,,,,,,,,,,,,,,
         Customer A,122-001,Customer A,,514.00,,,,514.00,,,,,,,,,,,,,,,,,,,,,
CONTROL ACCOUNTS,CA,CONTROL ACCOUNTS,,,500.00,,500.00,,,,,,,,,,,,,,,,,,,,,,
   Opening Balances Control A/C,OBC,Opening Balances Control A/C,,,,500.00,,500.00,,,,,,,,,,,,,,,,,,,,,
COGS POSTING ACC,COGS POSTING ACC,COGS POSTING ACC,363.42,,,,363.42,,,,,,,,,,,,,,,,,,,,,,
BR COGS ACC INV,BR COGS ACC INV,BR COGS ACC INV,21.25,,,,21.25,,,,,,,,,,,,,,,,,,,,,,
FIFO COGS ACC INV,FIFO COGS ACC INV,FIFO COGS ACC INV,31.67,,,,31.67,,,,,,,,,,,,,,,,,,,,,,
WA COGS ACC INV,WA COGS ACC INV,WA COGS ACC INV,223.66,,,,223.66,,,,,,,,,,,,,,,,,,,,,,
STD RATE COGS ACC INV,STD RATE COGS ACC INV,STD RATE COGS ACC INV,490.00,,,,490.00,,,,,,,,,,,,,,,,,,,,,,
VAT INPUT,VAT INPUT,VAT INPUT,19.13,,,,19.13,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,1693.42,1693.42,500.00,500.00,2193.42,2193.42,2686.29,2686.29,1693.42,1693.42,10.00,10.00,1703.42,1703.42,2686.29,2686.29,120.60,120.60,55.50,55.50,176.10,176.10,201.26,201.26,,,
Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC,HDFC,HDFC,5.42,,,,5.42,,,,,,,,,,,,,,,,,,,,,,
REVENUE,007,REVENUE,620.00,,,,620.00,,,,,,,,,,,,,,,,,,,,,,
   SALES,071,SALES,,620.00,,,,620.00,,,,,,,,,,,,,,,,,,,,,
      Sales - Computers,071-001,Sales - Computers,,620.00,,,,620.00,,,,,,,,,,,,,,,,,,,,,
LIABILITIES,003,LIABILITIES,306.50,,500.00,,806.50,,,,,,,,,,,,,,,,,,,,,,
   Trade Payable,033,Trade Payable,,306.50,,500.00,,806.50,,,,,,,,,,,,,,,,,,,,,
      Vendor A,033-001,Vendor A,,,,1500.00,,1500.00,,,,,,,,,,,,,,,,,,,,,
      Vendor B,033-002,Vendor B,,306.50,,,,693.50,,,,,,,,,,,,,,,,,,,,,
SR COGS POSTING ACC,SR COGS POSTING ACC,SR COGS POSTING ACC,120.00,,,,120.00,,,,,,,,,,,,,,,,,,,,,,
EXCESS COGS POSTING ACC,EXCESS COGS POSTING ACC,EXCESS COGS POSTING ACC,130.00,,,,130.00,,,,,,,,,,,,,,,,,,,,,,
VAT ADVANCE PURCHASE,VAT ADVANCE PURCHASE,VAT ADVANCE PURCHASE,1.50,,,,1.50,,,,,,,,,,,,,,,,,,,,,,
PURCHASE VARIANCE,PURCHASE VARIANCE,PURCHASE VARIANCE,510.00,,,,510.00,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,1693.42,1693.42,500.00,500.00,2193.42,2193.42,2686.29,2686.29,1693.42,1693.42,10.00,10.00,1703.42,1703.42,2686.29,2686.29,120.60,120.60,55.50,55.50,176.10,176.10,201.26,201.26,,,
