,,,,,,,,,,,,,,,Automation Company : 08/10/2020 5:43 PM
,,,,,,,,,,,,,,,Trial balance
,,,,,,,,,,,,,,, [ AsOnDate to 31/12/2022 ]
,,,,,,,,,,,Base,,,,,,,,Transaction,,,,,,,,Local,Base,TransactionLocal
Particulars,Code,Alias,Debit,Credit,Dr (Op bal),Cr (Op bal),Dr (YTD),Cr (YTD),Debits for the period,Credits for the period,Debit (orig),Credit (orig),Dr (Op bal orig) ,Cr (Op bal orig),Dr (YTD orig),Cr (YTD orig),Debits for the period,Credits for the period,Debit (local),Credit (local),Dr (Op bal local),Cr (Op bal local),Dr (YTD local),Cr (YTD local),Debits for the period,Credits for the period,Percentage (%),Percentage (orig),Percentage (local)
HDFC,HDFC,HDFC,,5.42,,,,5.42,,5.42,,5.42,,,,5.42,,5.42,,11.54,,,,11.54,,11.54,0.32,0.32,9.57
ASSETS,001,ASSETS,544.29,,,,544.29,,544.29,,544.29,,,,544.29,,544.29,,49.26,,,,49.26,,49.26,,32.14,32.14,40.85
   Current Assets,012,Current Assets,544.29,,,,544.29,,544.29,,544.29,,,,544.29,,544.29,,49.26,,,,49.26,,49.26,,32.14,32.14,40.85
      Cash & bank,121,Cash & bank,30.29,,,,30.29,,30.29,,30.29,,,,30.29,,30.29,,13.28,,,,13.28,,13.28,,1.79,1.79,11.01
         Bank,121-001,Bank,30.29,,,,30.29,,30.29,,30.29,,,,30.29,,30.29,,13.28,,,,13.28,,13.28,,1.79,1.79,11.01
      Accounts Receivable,122,Accounts Receivable,514.00,,,,514.00,,514.00,,514.00,,,,514.00,,514.00,,35.98,,,,35.98,,35.98,,30.35,30.35,29.83
         Customer A,122-001,Customer A,514.00,,,,514.00,,514.00,,514.00,,,,514.00,,514.00,,35.98,,,,35.98,,35.98,,30.35,30.35,29.83
CONTROL ACCOUNTS,CA,CONTROL ACCOUNTS,,,500.00,,500.00,,,,,,10.00,,10.00,,,,,,55.50,,55.50,,,,,,
   Opening Balances Control A/C,OBC,Opening Balances Control A/C,,,500.00,,500.00,,,,,,10.00,,10.00,,,,,,55.50,,55.50,,,,,,
REVENUE,007,REVENUE,,620.00,,,,620.00,,620.00,,620.00,,,,620.00,,620.00,,43.40,,,,43.40,,43.40,36.61,36.61,35.99
   SALES,071,SALES,,620.00,,,,620.00,,620.00,,620.00,,,,620.00,,620.00,,43.40,,,,43.40,,43.40,36.61,36.61,35.99
      Sales - Computers,071-001,Sales - Computers,,620.00,,,,620.00,,620.00,,620.00,,,,620.00,,620.00,,43.40,,,,43.40,,43.40,36.61,36.61,35.99
LIABILITIES,003,LIABILITIES,,306.50,,500.00,,806.50,,306.50,,306.50,,10.00,,316.50,,306.50,,21.46,,55.50,,76.96,,21.46,18.10,18.10,17.79
   Trade Payable,033,Trade Payable,,306.50,,500.00,,806.50,,306.50,,306.50,,10.00,,316.50,,306.50,,21.46,,55.50,,76.96,,21.46,18.10,18.10,17.79
      Vendor A,033-001,Vendor A,,,,1500.00,,1500.00,,,,,,30.00,,30.00,,,,,,166.50,,166.50,,,,,
      Vendor B,033-002,Vendor B,,306.50,1000.00,,693.50,,,306.50,,306.50,20.00,,,286.50,,306.50,,21.46,111.00,,89.55,,,21.46,18.10,18.10,17.79
COGS POSTING ACC,COGS POSTING ACC,COGS POSTING ACC,363.42,,,,363.42,,363.42,,363.42,,,,363.42,,363.42,,25.44,,,,25.44,,25.44,,21.46,21.46,21.09
BR COGS ACC INV,BR COGS ACC INV,BR COGS ACC INV,21.25,,,,21.25,,21.25,,21.25,,,,21.25,,21.25,,0.79,,,,0.79,,0.79,,1.25,1.25,0.65
FIFO COGS ACC INV,FIFO COGS ACC INV,FIFO COGS ACC INV,31.67,,,,31.67,,31.67,,31.67,,,,31.67,,31.67,,1.52,,,,1.52,,1.52,,1.87,1.87,1.26
WA COGS ACC INV,WA COGS ACC INV,WA COGS ACC INV,223.66,,,,223.66,,223.66,,223.66,,,,223.66,,223.66,,8.66,,,,8.66,,8.66,,13.21,13.21,7.18
STD RATE COGS ACC INV,STD RATE COGS ACC INV,STD RATE COGS ACC INV,490.00,,,,490.00,,490.00,,490.00,,,,490.00,,490.00,,33.60,,,,33.60,,33.60,,28.94,28.94,27.86
SR COGS POSTING ACC,SR COGS POSTING ACC,SR COGS POSTING ACC,,120.00,,,,120.00,,120.00,,120.00,,,,120.00,,120.00,,8.40,,,,8.40,,8.40,7.09,7.09,6.97
EXCESS COGS POSTING ACC,EXCESS COGS POSTING ACC,EXCESS COGS POSTING ACC,,130.00,,,,130.00,,130.00,,130.00,,,,130.00,,130.00,,,,,,,,,7.68,7.68,
VAT ADVANCE PURCHASE,VAT ADVANCE PURCHASE,VAT ADVANCE PURCHASE,,1.50,,,,1.50,,1.50,,1.50,,,,1.50,,1.50,,0.11,,,,0.11,,0.11,0.09,0.09,0.09
PURCHASE VARIANCE,PURCHASE VARIANCE,PURCHASE VARIANCE,,510.00,,,,510.00,,510.00,,510.00,,,,510.00,,510.00,,35.70,,,,35.70,,35.70,30.12,30.12,29.60
VAT INPUT,VAT INPUT,VAT INPUT,19.13,,,,19.13,,19.13,,19.13,,,,19.13,,19.13,,1.34,,,,1.34,,1.34,,1.13,1.13,1.11
Grand Total,,,1693.42,1693.42,500.00,500.00,2193.42,2193.42,2686.29,2686.29,1693.42,1693.42,10.00,10.00,1703.42,1703.42,2686.29,2686.29,120.60,120.60,55.50,55.50,176.10,176.10,201.26,201.26,,,
